thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.7,alarm,p1,0.01,0.990000,10000,10,6,0.010000,0.074000,10000,9999.980000,10000,0.0000001,-9999.926000
0.75,alarm,p1,0.01,0.990000,10000,10,6,0.016000,0.080000,10000,9999.980000,10000,0.0000001,-9999.920000
0.8,alarm,p1,0.01,0.990000,10000,10,6,0.016000,0.077000,10000,9999.980000,10000,0.0000001,-9999.923000
0.85,alarm,p1,0.01,0.990000,10000,10,6,0.011000,0.071000,10000,9999.980000,10000,0.0000001,-9999.929000
0.9,alarm,p1,0.01,0.990000,10000,10,6,0.011000,0.063000,10000,9999.980000,10000,0.0000001,-9999.937000
0.95,alarm,p1,0.01,0.990000,10000,10,6,0.016000,0.078000,10000,9999.980000,10000,0.0000001,-9999.922000
0.3,hailfinder,p1,0.01,0.990000,0.1,0.001,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.900000,-10000.000000
0.35,hailfinder,p1,0.01,0.990000,0.1,0.001,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.900000,-10000.000000
0.4,hailfinder,p1,0.01,0.990000,0.150203125,0.050203,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.849797,-10000.000000
0.45,hailfinder,p1,0.01,0.990000,0.496875,0.396875,3,0.047000,0.086000,10000,9999.900000,10000,-9999.503125,-9999.914000
0.5,hailfinder,p1,0.01,0.990000,0.8359375,0.735938,4,0.042000,0.086000,10000,9999.900000,10000,-9999.164062,-9999.914000
0.55,hailfinder,p1,0.01,0.990000,10000,10,6,0.017000,0.095000,10000,9999.900000,10000,0.0000001,-9999.905000
0.6,hailfinder,p1,0.01,0.990000,10000,10,6,0.015000,0.082000,10000,9999.900000,10000,0.0000001,-9999.918000
0.65,hailfinder,p1,0.01,0.990000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.7,hailfinder,p1,0.01,0.990000,10000,10,6,0.014000,0.084000,10000,9999.900000,10000,0.0000001,-9999.916000
0.75,hailfinder,p1,0.01,0.990000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.8,hailfinder,p1,0.01,0.990000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.85,hailfinder,p1,0.01,0.990000,10000,10,6,0.013000,0.080000,10000,9999.900000,10000,0.0000001,-9999.920000
0.9,hailfinder,p1,0.01,0.990000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.95,hailfinder,p1,0.01,0.990000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
